Time,Machine A,Machine B,Detector α 1,Detector α 2,Detector β 1 ,Detector β 2,Diverter ψ 1,Diverter ψ 2,Detector δ 1,Detector δ 2
hh:mm:ss,RPM,RPM,,,,,,,,
03:35:54,6536,8285,1,1,1,1,1,1,1,1
03:35:59,6536,8285,1,1,1,0,1,1,1,1
03:36:04,6536,8285,1,1,1,0,1,1,1,1
03:36:09,6536,8285,1,1,1,0,1,1,1,1
03:36:14,6536,8285,1,1,1,0,1,1,1,0
03:36:19,6536,8285,1,0,1,0,1,1,1,0
03:36:24,6536,8285,1,0,1,0,1,1,1,0
03:36:29,6536,8285,1,0,1,0,1,1,1,0
03:36:34,6536,8285,0,0,1,0,1,1,1,0
03:36:39,6536,8285,0,0,1,0,1,1,1,0
03:36:44,6536,8285,0,0,1,0,1,1,1,0
03:36:49,6536,8285,0,0,1,0,1,1,1,0
03:36:54,6536,8285,0,0,1,0,1,1,1,0
03:36:59,6536,8285,0,0,1,0,1,1,1,0
03:37:04,6536,8285,0,0,1,0,1,1,1,0
03:37:09,6536,8285,0,0,1,0,1,1,1,0
03:37:14,6536,8285,0,0,1,0,1,1,1,0
03:37:19,6536,8285,0,0,1,0,1,1,1,0
03:37:24,6536,8285,0,0,1,0,1,1,1,0
03:37:29,6536,8285,0,0,1,0,1,1,1,0
03:37:34,6536,8285,0,0,0,0,1,1,1,0
03:37:39,6536,8285,0,0,0,0,1,1,1,0
03:37:44,6536,8285,0,0,0,0,1,1,1,0
03:37:49,6536,8285,0,0,0,0,1,1,0,0
03:37:54,6536,8285,0,0,0,0,1,1,0,0
03:37:59,6536,8285,0,0,0,0,1,1,0,0
03:38:04,6536,8285,0,0,0,0,1,1,0,0
03:38:09,6536,8285,0,0,0,0,1,1,0,0
03:38:14,6536,8285,0,0,0,0,1,1,0,0
03:38:19,6536,8285,0,0,0,0,1,1,0,0
03:38:24,6536,8285,0,0,0,0,1,1,0,0
03:38:29,6536,8285,0,0,0,0,1,1,0,0
03:38:34,6343,8285,0,0,0,0,1,1,0,0
03:38:39,6096,8082,0,0,0,0,1,1,0,0
03:38:44,5105,7835,0,0,0,0,1,1,0,0
03:38:49,3865,6799,0,0,0,0,1,1,0,0
03:38:54,2625,5559,0,0,0,0,1,1,0,0
03:38:59,1385,4319,0,0,0,0,1,1,0,0
03:39:04,428,3074,0,0,0,0,1,1,0,0
03:39:09,181,1839,0,0,0,0,1,1,0,0
03:39:14,0,594,0,0,0,0,1,1,0,0
03:39:19,0,270,0,0,0,0,1,1,0,0
03:39:24,0,20,0,0,0,0,1,1,0,0
03:39:29,0,0,0,0,0,0,1,1,0,0
03:39:34,0,0,0,0,0,0,1,1,0,0
03:39:39,0,0,0,0,0,0,1,1,0,0
03:39:44,0,0,0,0,0,0,1,1,0,0
03:39:49,0,0,0,0,0,0,1,1,0,0
03:39:54,0,0,0,0,0,0,1,1,0,0
03:39:59,0,0,0,0,0,0,1,1,0,0
03:40:04,0,0,0,0,0,0,1,1,0,0
03:40:09,0,0,0,0,0,0,1,1,0,0
03:40:14,0,0,0,0,0,0,1,1,0,0
03:40:19,0,0,0,0,0,0,1,1,0,0
03:40:24,0,0,0,0,0,0,1,1,0,0
03:40:29,0,0,0,0,0,0,1,1,0,0
03:40:34,0,0,0,0,0,0,1,1,0,0
03:40:39,0,0,0,0,0,0,1,1,0,0
03:40:44,0,0,0,0,0,0,1,1,0,0
03:40:49,0,0,0,0,0,0,1,1,0,0
03:40:54,0,0,0,0,0,0,1,1,0,0
03:40:59,0,0,0,0,0,0,1,1,0,0
03:41:04,0,0,0,0,0,0,1,1,0,0
03:41:09,0,0,0,0,0,0,1,1,0,0
